Email,FirstName,BusinessName,City,Trade,PricingLink
"info@techfixelectric.co.uk","Techfix","Techfix Electric Ltd","wolverhampton","electrician","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_2_manual&utm_medium=email&trade=electrician&city=wolverhampton&ref=42567999-040d-3a2c-bf69-98159f9e9e2a"
"russell@rselectrical.co.uk","RS","RS Electrical & Security","wolverhampton","electrician","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_2_manual&utm_medium=email&trade=electrician&city=wolverhampton&ref=ec343585-1ced-355d-8c0d-5f24cbaf5fc7"
"info@emergencyelectrician.co.uk","Emergency","Emergency Electrician Rmsg Mep Service UK Ltd","Wolverhampton","electrician","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_2_manual&utm_medium=email&trade=electrician&city=Wolverhampton&ref=1d61ec4d-08f1-3046-9cf7-68df56461e67"
"info@coventrydrainunblocking.co.uk","Coventry","Coventry Drain Solutions","Coventry","drain-specialist","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_2_manual&utm_medium=email&trade=drain-specialist&city=Coventry&ref=620eba8d-3f13-3281-a67f-e882959d6e37"
"info@trades247.co.uk","Trades","Trades 247","wolverhampton","electrician","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_2_manual&utm_medium=email&trade=electrician&city=wolverhampton&ref=f985cb73-1ec9-33fd-acad-fdca56063282"
"sales@hrdelectrical.co.uk","HRD","HRD Electrical","wolverhampton","electrician","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_2_manual&utm_medium=email&trade=electrician&city=wolverhampton&ref=a1e07e6d-d237-3c1f-a386-a73991f75016"
"info@ezelectricians.co.uk","Ez-Electricians","Ez-Electricians","wolverhampton","electrician","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_2_manual&utm_medium=email&trade=electrician&city=wolverhampton&ref=108ef590-b78b-3225-bd64-31eff2b4cd5a"
"info@surgeelectrical.co.uk","Surge","Surge Electrical","wolverhampton","electrician","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_2_manual&utm_medium=email&trade=electrician&city=wolverhampton&ref=f47525b1-89b4-3694-bc91-844fae21af3a"
"info@researchsquare.com","Square","Square Root Maintenance and Services Ltd","wolverhampton","electrician","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_2_manual&utm_medium=email&trade=electrician&city=wolverhampton&ref=aeb6eb42-867d-3c71-b62a-9588f44b45ec"
"info@westmidlandselectrical.co.uk","West","West Midlands Electrical and Air Conditioning","Wolverhampton","electrician","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_2_manual&utm_medium=email&trade=electrician&city=Wolverhampton&ref=4721fd0f-03c2-3861-842c-21378669bde6"
"info@hadenelectrical.co.uk","Haden","Haden Electrical & Property Contractors Ltd","wolverhampton","electrician","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_2_manual&utm_medium=email&trade=electrician&city=wolverhampton&ref=0f1a5aea-0436-3ca4-897c-fdb86721f5f2"
"info@vipertechnical.co.uk","Viper","Viper Technical Ltd","wolverhampton","electrician","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_2_manual&utm_medium=email&trade=electrician&city=wolverhampton&ref=a6b575bd-4bd1-3292-a63e-7f2f5999002e"
"info@chamberselectrical.co.uk","Chambers","Chambers Electrical","wolverhampton","electrician","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_2_manual&utm_medium=email&trade=electrician&city=wolverhampton&ref=4fb1b05d-c347-37ba-8042-97d732d2cb6d"
"info@smelectrical.co.uk","SM","SM Electrical Midlands","wolverhampton","electrician","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_2_manual&utm_medium=email&trade=electrician&city=wolverhampton&ref=19b92e64-46aa-3b2a-8cd5-c9ffc26dacc9"
"acbelectrics@gmail.com","A","A C B Electrics Ltd","wolverhampton","electrician","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_2_manual&utm_medium=email&trade=electrician&city=wolverhampton&ref=9d53de91-0835-3e83-aa95-18cf65b6708a"
"info@connectelectrical.co.uk","Connect","Connect Electrical (Staffs) Ltd","stoke-on-trent","electrician","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_2_manual&utm_medium=email&trade=electrician&city=stoke-on-trent&ref=2682a1af-16f2-31c6-87c0-db3519cdd265"
"info@assuredelectrical.co.uk","Assured","Assured Electrical (Installation & Testing) Ltd","stoke-on-trent","electrician","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_2_manual&utm_medium=email&trade=electrician&city=stoke-on-trent&ref=a16cb513-4c21-3146-872a-76ef2a817697"
"ecovoltz@outlook.com","Eco-Voltz","Eco-Voltz LTD Electrical Contractors","coventry","electrician","https://emergencytradesmen.net/pricing?utm_source=gmail_mailmerge&utm_campaign=batch_2_manual&utm_medium=email&trade=electrician&city=coventry&ref=0b8185bb-7212-396f-b754-a826b64a1ef2"
