Name,Phone,Trade,Rating,Reviews,Website,Address
"Bulldog Rooter","(509) 512-1239","plumber","4.9","5422","https://bulldogrooter.com/?utm_source=google&utm_medium=businesslisting&utm_campaign=bdg-brand_gmb_0324&utm_content=bdg-brand","16124 E Marietta Ave STE 101, Spokane Valley, WA 99216, USA"
"Mainstream Electric, Heating, Cooling and Plumbing","(509) 517-5912","plumber","4.7","4960","https://mainstreamhomeservices.com/?utm_source=google&utm_medium=businesslisting&utm_campaign=mns-brand_gmb_1023&utm_content=mns-brand","12822 E Indiana Ave, Spokane Valley, WA 99216, USA"
"Holliday Heating + Cooling + Electric","(509) 838-5717","electrician","4.9","4059","https://hollidayheating.com/","410 N Helena St, Spokane, WA 99202, USA"
"Gold Seal Plumbing","(509) 535-5946","plumber","4.8","3524","https://goldsealplumbing.com/","5524 E Boone Ave, Spokane Valley, WA 99212, USA"
"🏅 Hurliman Heating & Air Conditioning","(509) 289-2571","gas-engineer","4.9","2433","https://www.hurlimanheating.com/","515 S Dishman Mica Rd, Spokane Valley, WA 99206, USA"
"Roto-Rooter Plumbing & Water Cleanup","(509) 505-5062","plumber","4.8","1439","https://www.rotorooter.com/spokane/?utm_source=Google&utm_medium=organic&utm_campaign=gmb&utm_content=website","6214 E Alki Ave, Spokane Valley, WA 99212, USA"
"Shaw Plumbing Heating & Air Conditioning","(509) 642-6166","plumber","4.9","1242","https://www.shawplumbingservices.com/","738 N Cook St, Spokane, WA 99202, USA"
"Raptor Rooter & Plumbing","(509) 384-3116","plumber","4.8","1073","https://www.raptorrooterplumbing.com/","305 S Dishman Mica Rd, Spokane Valley, WA 99206, USA"
"Platinum Rooter & Plumbing","(509) 408-3914","plumber","4.9","617","https://www.platinumplumbingnw.com/?utm_campaign=gmb&utm_medium=organic&utm_source=google","318 S Dishman Mica Rd, Spokane Valley, WA 99206, USA"
"Mr. Rooter Plumbing of Spokane","(509) 368-7262","plumber","4.7","529","https://www.mrrooter.com/spokane/?cid=LSTL_MRR000199&utm_source=gmb&utm_campaign=local&utm_medium=organic","4007 E Trent Ave, Spokane, WA 99202, USA"
"Action Drain & Plumbing","(509) 467-1717","plumber","4.8","522","https://www.actiondrain.net/","3605 E Rowan Ave, Spokane, WA 99217, USA"
"Bartlett Roofing","(509) 309-7358","roofer","4.8","493","https://bartlettroofs.com/service-areas/spokane-wa/","12409 E Mirabeau Pkwy Ste 300, Spokane Valley, WA 99216, USA"
"Mr. Handyman of Spokane","(509) 412-3554","plumber","4.7","447","https://www.mrhandyman.com/spokane/?cid=LSTL_MHM000197&utm_source=gmb&utm_campaign=local&utm_medium=organic","9608 E Montgomery Ave Suite 13, Spokane Valley, WA 99206, USA"
"RainCity Refrigerator & Appliance Repair Spokane","(509) 236-4556","plumber","5","447","https://raincitypro.com/?utm_campaign=gmb","707 W Main Ave Suite B1, Spokane, WA 99201, USA"
"American Lock & Key","(509) 230-7656","locksmith","4.8","442","https://www.spokane-locksmith.com/","107 E 3rd Ave, Spokane, WA 99202, USA"
"First Rate Roofing Services","(509) 842-6611","roofer","5","384","http://www.firstrateroofingservices.com/","4309 E Joseph Ave, Spokane, WA 99217, USA"
"Infinite Electric","(509) 723-0022","electrician","4.8","375","https://infiniteelectrician.com/","1204 S Pines Rd, Spokane Valley, WA 99206, USA"
"Banner Furnace & Fuel","(509) 535-1711","gas-engineer","4.6","355","http://www.bannerfuel.com/","122 N Helena St, Spokane, WA 99202, USA"
"Batteries Plus","(509) 489-4226","locksmith","4.3","353","https://www.batteriesplus.com/store-locator/wa/spokane/batteries-plus-247?utm_source=gmb&utm_medium=local&utm_campaign=bpb&storecode=247","7704 N Division St Suite 3, Spokane, WA 99208, USA"
"Apex Roofing","(509) 779-6774","roofer","5","336","https://www.apex-roofing.com/spokane","15407 E Mission Ave # 203, Spokane Valley, WA 99037, USA"
"Batteries Plus","(509) 924-6645","locksmith","4.4","327","https://www.batteriesplus.com/store-locator/wa/spokane/batteries-plus-248?utm_source=gmb&utm_medium=local&utm_campaign=bpb&storecode=248","11101 E Sprague Ave, Spokane, WA 99206, USA"
"Plumb Zebra","(509) 317-9009","plumber","4.9","327","https://plumbzebra.com/","7525 E Trent Ave, Spokane Valley, WA 99212, USA"
"Capstone Construction","(509) 468-4981","roofer","4.5","302","http://www.capstone247.com/","2917 E Francis Ave, Spokane, WA 99208, USA"
"Avista Utilities","(800) 227-9187","gas-engineer","2.4","302","http://www.myavista.com/","1411 E Mission Ave, Spokane, WA 99252, USA"
"JLR Plumbing","(509) 472-5655","plumber","4.8","295","http://jlrplumbingco.com/","2111 E Rockwood Blvd, Spokane, WA 99203, USA"
"Pace Plumbing & Heating","(509) 489-0824","plumber","4.8","290","http://paceplumbingwa.com/","1828 E Trent Ave, Spokane, WA 99202, USA"
"Trademark Heating, Cooling & Electrical","(509) 214-0885","plumber","5","287","https://trademarkmechanical.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*441*trademark-spokane","6010 E Trent Ave, Spokane, WA 99202, USA"
"Cole's Plumbing","(509) 424-5163","plumber","4.9","272","https://www.coles-plumbing.com/","2121 E Springfield Ave, Spokane, WA 99202, USA"
"Specialty Home Products, Inc.","(509) 534-8372","roofer","4.7","251","https://www.specialty-exteriors.com/wa","2222 E Mallon Ave, Spokane, WA 99202, USA"
"Division One Plumbing","(509) 385-5593","plumber","4.9","244","https://divisiononeplumbing.com/?utm_source=Google&utm_medium=GBP","8007 E Trent Ave, Spokane Valley, WA 99212, USA"
"Liberty Lock & Key","(509) 255-7202","locksmith","4.9","239","https://liberty-lock-n-key.com/","601 W 1st Ave suite 1418, Spokane, WA 99201, USA"
"Peters Hardware","(509) 926-3646","locksmith","4.7","222","http://petershardwarespokane.com/","12118 E Sprague Ave, Spokane, WA 99206, USA"
"VPC Electric","(833) 274-3217","electrician","4.9","210","https://www.vpcelectrician.com/?utm_source=spokane+google+business+profile&utm_medium=organic&utm_campaign=website+click","111 W 25th Ave, Spokane, WA 99203, USA"
"Vietzke Trenchless Inc","(509) 244-9607","plumber","4.7","174","https://vietzketrenchless.com/services/","2011 S Craig Rd, Airway Heights, WA 99001, USA"
"Affordable Lock Express","(509) 926-5004","locksmith","4.5","166","http://affordablelockexpress.com/","502 S Sullivan Rd Suite101, Spokane Valley, WA 99037, USA"
"Comfort Heating, Cooling, Electrical & Plumbing","(509) 214-0649","plumber","5","163","https://comfortheatingandairinc.com/","11711 E Trent Ave, Spokane Valley, WA 99206, USA"
"Al's Locksmith Shop","(509) 474-9840","locksmith","4.9","158","","9119 E Boone Ave # B, Spokane Valley, WA 99206, USA"
"Jimmy's Roofing","(509) 408-3486","roofer","4.8","155","http://www.jimmysroofing.com/","11401 E Montgomery Dr #2, Spokane Valley, WA 99206, USA"
"Evergreen Electric PNW Inc","(509) 418-2672","electrician","4.8","155","https://www.evergreenelectricpnw.com/","9514 E Montgomery Ave # 27, Spokane Valley, WA 99206, USA"
"Inland Roofing & Supply","(509) 535-1566","roofer","4.8","148","https://inlandroofing.com/","5528 E Sprague Ave, Spokane, WA 99212, USA"
"Glass Doctor of Spokane","(509) 368-7924","glazier","4.5","144","https://glassdoctor.com/spokane?cid=LSTL_MGD000191&utm_source=gmb&utm_campaign=local&utm_medium=organic","7125 E Broadway Ave, Spokane Valley, WA 99212, USA"
"High Energy Electric - Spokane Valley WA Electrician","(509) 509-0231","electrician","4.8","136","https://highenergyservice.com/","918 N Lake Rd, Spokane Valley, WA 99212, USA"
"Advance Roofing LLC","(509) 201-4190","roofer","4.8","128","https://advanceroofingllc.com/","9505 N Division St # 212, Spokane, WA 99218, USA"
"Professional Piping Inc","(509) 290-6835","plumber","4.9","122","https://www.spokaneplumber.com/","2733 E Providence Ave, Spokane, WA 99207, USA"
"Legacy Roofing","(509) 262-4411","roofer","5","118","https://www.legacyroofs.net/","915 W 2nd Ave, Spokane, WA 99201, USA"
"20/20 Exteriors","(509) 688-4480","roofer","4.9","118","http://www.2020exteriors.com/","124 E Rowan Ave Suite 202B, Spokane, WA 99207, USA"
"Norco Heating and Air Conditioning","(509) 534-4975","gas-engineer","4.3","118","https://norcoha.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Spokane-WA","5103 E Trent Ave, Spokane, WA 99212, USA"
"Perrenoud Roofing Inc.","(509) 483-7100","roofer","4.4","109","https://perrenoudroofing.com/","7710 N Freya St, Spokane, WA 99217, USA"
"Vietzke Drain & Rooter","(509) 279-0209","plumber","4.9","109","http://cleanyourdrains.com/","1805 S Craig Rd, Airway Heights, WA 99001, USA"
"NOW Remodeling","(509) 228-3240","roofer","4.1","107","http://www.nowremodeling.net/","9921 N Nevada St Suite 110, Spokane, WA 99218, USA"
"Affordable Drains","(509) 683-7246","plumber","5","102","https://www.affordable-drains.com/","2925 E Providence Ave, Spokane, WA 99207, USA"
"Spokane Rain Gutter Inc.","(509) 922-4880","roofer","4.6","100","http://www.gutterhelmetofidaho.com/","8710 E Sprague Ave, Spokane, WA 99212, USA"
"CTC Electrical Contracting Inc.","(509) 290-6940","electrician","4.8","95","http://www.ctcelectricalcontracting.com/","14405 E Trent Ave Unit A, Spokane, WA 99216, USA"
"Legacy Roofs","(509) 262-4411","roofer","4.9","94","http://www.legacyroofs.net/","8316 N Colton Pl, Spokane, WA 99208, USA"
"Salazar Construction","(509) 329-8553","roofer","4.8","94","https://www.salazarconstructions.com/","12220 E 9th Ave, Spokane Valley, WA 99206, USA"
"Glacier Roofing & Exteriors","(509) 420-5663","roofer","4.9","90","https://myglacierhome.com/","16307 E Trent Ave, Spokane Valley, WA 99216, USA"
"HES Electrical","(509) 508-5700","electrician","5","88","http://heselectrical.net/","3029 E Sinto Ave, Spokane, WA 99202, USA"
